feedback_text,feedback_id,source,role,submitted_at,severity
每次登录都要等很久，验证码一直转圈,FD-LOGIN-001,客服工单,普通成员,2026-08-01,P1
手机号登录收不到短信验证码，试了五次,FD-LOGIN-002,应用商店,普通成员,2026-08-02,P0
登录页面卡死，只能强制退出重进,FD-LOGIN-003,客服工单,普通成员,2026-08-03,P1
第三方账号登录经常失败，提示授权错误,FD-LOGIN-004,客服工单,企业管理员,2026-08-04,P1
登录后又被踢回登录页，反复循环,FD-LOGIN-005,问卷,普通成员,2026-08-05,P0
扫码登录的二维码刷不出来,FD-LOGIN-006,企业客户群,企业管理员,2026-08-06,P1
登录速度太慢了，等得着急,FD-LOGIN-007,应用商店,普通成员,2026-08-07,P1
切换账号的时候系统报错,FD-LOGIN-008,客服工单,运营分析师,2026-08-08,P1
忘记密码后重置流程太繁琐,FD-LOGIN-009,问卷,普通成员,2026-08-09,P2
登录时滑块验证码总是识别不过,FD-LOGIN-010,客服工单,普通成员,2026-08-10,P1
苹果账号登录闪退,FD-LOGIN-011,应用商店,普通成员,2026-08-11,P0
验证码有效期太短，输入就过期了,FD-LOGIN-012,问卷,普通成员,2026-08-12,P1
同一账号两台设备登录会互相挤掉,FD-LOGIN-013,客服工单,企业管理员,2026-08-13,P1
登录页在平板上显示错位,FD-LOGIN-014,企业客户群,企业管理员,2026-08-14,P2
人脸识别登录经常失败,FD-LOGIN-015,客服工单,普通成员,2026-08-15,P1
登录后的加载动画转个不停,FD-LOGIN-016,应用商店,普通成员,2026-08-16,P1
密码输入框无法粘贴,FD-LOGIN-017,问卷,普通成员,2026-08-17,P2
手机验证码一天最多五条，不够用,FD-LOGIN-018,客服工单,企业管理员,2026-08-18,P1
企业微信扫码登录没反应,FD-LOGIN-019,企业客户群,企业管理员,2026-08-19,P0
登录成功后又提示会话过期,FD-LOGIN-020,客服工单,运营分析师,2026-08-20,P0
导出的 Excel 表格全是乱码，打不开,FD-EXPORT-001,客服工单,运营分析师,2026-08-01,P0
希望能支持导出成 PDF 格式，现在只有 Excel,FD-EXPORT-002,问卷,运营分析师,2026-08-02,P2
导出的数据列和页面上看到的不一致,FD-EXPORT-003,客服工单,数据分析师,2026-08-03,P1
导出文件超过一万行就会失败,FD-EXPORT-004,企业客户群,企业管理员,2026-08-04,P0
批量导出的时候字段丢失严重,FD-EXPORT-005,客服工单,运营分析师,2026-08-05,P1
导出格式太单一，我们需要 CSV,FD-EXPORT-006,问卷,数据分析师,2026-08-06,P2
报表导出后数字变成了科学计数法,FD-EXPORT-007,客服工单,运营分析师,2026-08-07,P1
导出按钮点了没反应，也不报错,FD-EXPORT-008,应用商店,普通成员,2026-08-08,P1
导出的文件名是乱码的字符串,FD-EXPORT-009,客服工单,普通成员,2026-08-09,P2
希望导出可以自定义列的顺序,FD-EXPORT-010,问卷,运营分析师,2026-08-10,P2
导出速度太慢，一份数据要等十分钟,FD-EXPORT-011,企业客户群,数据分析师,2026-08-11,P1
导出的日期格式不对，变成了英文格式,FD-EXPORT-012,客服工单,运营分析师,2026-08-12,P2
